document_id,cleaned_text,sentiment
0,love fact fragranc free doesnt dri skin,1
1,gift,1
2,time classic,1
3,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
4,good valu product thought would produc bubbl,1
5,work great love scentless use cap half make perfect amount bubbl,1
6,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
7,month old love good bubbl bath perfect gentl skin,1
8,blast past child bubbl bath bring great joy still around love,0
9,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
10,良い,0
11,pareil quand jétai jeun,0
12,相当なスキルを持った商品ですモチベーション上がりました,0
13,love fact fragranc free doesnt dri skin,1
14,gift,1
15,time classic,1
16,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
17,good valu product thought would produc bubbl,1
18,work great love scentless use cap half make perfect amount bubbl,1
19,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
20,month old love good bubbl bath perfect gentl skin,1
21,blast past child bubbl bath bring great joy still around love,0
22,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
23,良い,0
24,pareil quand jétai jeun,0
25,相当なスキルを持った商品ですモチベーション上がりました,0
26,love fact fragranc free doesnt dri skin,1
27,gift,1
28,time classic,1
29,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
30,good valu product thought would produc bubbl,1
31,work great love scentless use cap half make perfect amount bubbl,1
32,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
33,month old love good bubbl bath perfect gentl skin,1
34,blast past child bubbl bath bring great joy still around love,0
35,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
36,良い,0
37,pareil quand jétai jeun,0
38,相当なスキルを持った商品ですモチベーション上がりました,0
39,love fact fragranc free doesnt dri skin,1
40,gift,1
41,time classic,1
42,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
43,good valu product thought would produc bubbl,1
44,work great love scentless use cap half make perfect amount bubbl,1
45,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
46,month old love good bubbl bath perfect gentl skin,1
47,blast past child bubbl bath bring great joy still around love,0
48,nunca sent tan estafada con algo eso era espuma de baño e agua pura la peor compra que hice,0
49,良い,0
50,pareil quand jétai jeun,0
51,相当なスキルを持った商品ですモチベーション上がりました,0
52,love fact fragranc free doesnt dri skin,1
53,gift,1
54,time classic,1
55,mr bubbl realli help reduc dryness skin cold winter isnt child doesnt like bubbl softer skin recommend,1
56,good valu product thought would produc bubbl,1
57,work great love scentless use cap half make perfect amount bubbl,1
58,kid love bubbl bath make lot bubbl tear free wish came larger size go pretti quickli order two four pack keep around,1
59,month old love good bubbl bath perfect gentl skin,1
60,blast past child bubbl bath bring great joy still around love,0
